Chronic sore throat	Chronic pharyngitis
Congenital enlarged ventricular wall	Congenital hypertrophy of cardiac ventricle
Congenital frontal hole	Congenital fenestration of frontal bone
Congenital interparietal hole	Congenital fenestration of interparietal bone
Congenital nasal bone hole	Congenital fenestration of nasal bone
Congenital parietal hole	Congenital fenestration of parietal bone
Congenital supraoccipital hole	Congenital fenestration of supraoccipital bone
Localized adult-onset periodontitis	Localized adult periodontitis
Congenital small adrenal gland	Congenital hypoplasia of adrenal gland
Congenital adrenal hypoplasia	Congenital hypoplasia of adrenal gland
CAH - Congenital adrenal hypoplasia	Congenital hypoplasia of adrenal gland
Congenital small aortic valve	Congenital hypoplasia of aortic valve
Congenital small cervical arch	Congenital hypoplasia of arch of cervical vertebra
Congenital small lumbar arch	Congenital hypoplasia of arch of lumbar vertebra
Congenital small sacral arch	Congenital hypoplasia of arch of sacral vertebra
Congenital small thoracic arch	Congenital hypoplasia of arch of thoracic vertebra
Congenital small basisphenoid bone	Congenital hypoplasia of basisphenoid bone
Congenital small ventricular chamber	Congenital hypoplasia of cardiac ventricle
Congenital small cerebrum	Congenital hypoplasia of cerebrum
Congenital small clavicle	Congenital hypoplasia of clavicle
Hypoplastic clavicle	Congenital hypoplasia of clavicle
Poorly developed clavicle	Congenital hypoplasia of clavicle
Congenital short epididymis	Congenital hypoplasia of epididymis
Congenital small epididymis	Congenital hypoplasia of epididymis
Congenital short femur	Congenital hypoplasia of femur
Congenital short fibula	Congenital hypoplasia of fibula
Congenital small frontal bone	Congenital hypoplasia of frontal bone
Congenital small gallbladder	Congenital hypoplasia of gallbladder
Hypoplasia of gallbladder	Congenital hypoplasia of gallbladder
Congenital small genital tubercle	Congenital hypoplasia of genital tubercle
Congenital small heart	Congenital hypoplasia of heart
Congenital microcardia	Congenital hypoplasia of heart
Congenital short humerus	Congenital hypoplasia of humerus
Congenital small hyoid bone	Congenital hypoplasia of hyoid bone
Congenital small ilium	Congenital hypoplasia of ilium
Congenital small interparietal bone	Congenital hypoplasia of interparietal bone
Congenital small ischium	Congenital hypoplasia of ischium
Congenital small lacrimal bone	Congenital hypoplasia of lacrimal bone
Congenital small metatarsal bone	Congenital hypoplasia of metatarsal bone
Congenital small nasal bone	Congenital hypoplasia of nasal bone
Congenital small nasal cavity	Congenital hypoplasia of nasal cavity
Congenital hypoplasia of nasal conchae	Congenital hypoplasia of nasal turbinate
Congenital small nasal conchae	Congenital hypoplasia of nasal turbinate
Congenital small nasal septum	Congenital hypoplasia of nasal septum
Congenital small ovary	Congenital hypoplasia of ovary
Congenital small palatine bone	Congenital hypoplasia of palatine bone
Congenital small parietal bone	Congenital hypoplasia of parietal bone
Congenital small pubis	Congenital hypoplasia of pubis
Congenital hypoplasia of pulmonic valve	Congenital hypoplasia of pulmonary valve
Congenital small pulmonic valve	Congenital hypoplasia of pulmonary valve
Congenital short radius	Congenital hypoplasia of radius
Congenital small renal pelvis	Congenital hypoplasia of renal pelvis
Congenital short rib	Congenital hypoplasia of rib
Congenital microsplenia	Congenital hypoplasia of spleen
Congenital small spleen	Congenital hypoplasia of spleen
Congenital small supraoccipital bone	Congenital hypoplasia of supraoccipital bone
Congenital small talus	Congenital hypoplasia of talus
Congenital small tarsal bone	Congenital hypoplasia of tarsal bone
Congenital short tibia	Congenital hypoplasia of tibia
Congenital small tympanic anulus	Congenital hypoplasia of tympanic anulus
Congenital short ulna	Congenital hypoplasia of ulna
Congenital ulnar negative variant wrist	Congenital hypoplasia of ulna
Congenital ulnar negative variant of wrist	Congenital hypoplasia of ulna
Rudimentary vas deferens	Congenital hypoplasia of vas deferens
Congenital small zygomatic bone	Congenital hypoplasia of zygomatic bone
Congenital narrowed stomach	Congenital stenosis of stomach
Congenital narrowed subclavian artery	Congenital stenosis of subclavian artery
Interrupted ossification of rib	Discontinuous rib
Erosion of skin	Superficial ulcer of skin
Cutaneous edema	Edematous skin
Cutaneous necrosis	Skin necrosis
Sloughing of skin	Skin necrosis
Airway hemorrhage	Respiratory tract hemorrhage
Venous claudication	Venous intermittent claudication
Congenital neurological degeneration	Congenital degeneration of nervous system
Retinal arteriovenous anomaly	Retinal arteriovenous malformation
Renal stone	Kidney stone
Nephrolith	Kidney stone
Renal calculus	Kidney stone
Calculus of kidney	Kidney stone
Nephrolithiasis	Kidney stone
Kidney calculus	Kidney stone
Renal artery embolus	Renal artery embolism
Neonatal lupus	Neonatal lupus erythematosus
Laceration to cornea	Corneal laceration
Annular keratitis	Marginal keratitis
Ulceration of conjunctiva	Conjunctival ulcer
Irradiated bone	Radiation injury of bone
Acute alveolar abscess	Acute apical abscess
Acute dentoalveolar abscess	Acute apical abscess
Acute periapical abscess	Acute apical abscess
Chronic dentoalveolar abscess	Chronic apical abscess
Chronic periapical abscess	Chronic apical abscess
Suppurative apical periodontitis	Chronic apical abscess
Chronic alveolar abscess	Chronic apical abscess
Chronic periradicular abscess	Chronic apical abscess
Parulis	Gingival abscess
Gum boil	Gingival abscess
Parulides	Gingival abscess
Lateral luxation of tooth	Lateral dislocation of tooth
Lateral displacement of tooth	Lateral dislocation of tooth
Acute sialadenitis	Acute sialoadenitis
Hernia through epiploic foramen	Foraminal hernia
Foraminal hernia into epiploic foramen	Foraminal hernia
Irradiated bone marrow	Radiation injury of bone marrow
Partial thickness burn of forehead	Second degree burn of forehead
Full thickness burn of forehead	Third degree burn of forehead
Partial thickness burn of cheek	Second degree burn of cheek
Full thickness burn of cheek	Third degree burn of cheek
Atypical schizophrenia	Undifferentiated schizophrenia
Open fracture clavicle, medial end	Open fracture of sternal end of clavicle
Open fracture radial neck	Open fracture of neck of radius
Open fracture shaft of fibula	Open fracture of shaft of fibula
Full thickness burn of chest wall	Third degree burn of chest wall
Left coronary artery obstruction	Left coronary artery occlusion
Right coronary artery obstruction	Right coronary artery occlusion
Acute focal pyelonephritis	Focal pyelonephritis
Adenocarcinoma of endocervix	Endocervical adenocarcinoma
Closed traumatic shoulder dislocation	Closed traumatic dislocation of glenohumeral joint
Open wound of body region	Open wound
Open wound, finger	Open wound of finger
Open wound of hip	Open wound of hip region
Closed traumatic medial dislocation of subtalar joint	Closed medial dislocation of subtalar joint
Closed traumatic lateral dislocation of subtalar joint	Closed lateral dislocation of subtalar joint
Contusion of cerebellum	Cerebellar contusion
Laceration of cerebellum	Cerebellar laceration
Foetal neoplasm	Fetal neoplasm
Acute metabolic disease	Acute metabolic disorder
CP - Cerebral palsy	Cerebral palsy
Cerebral palsy (CP)	Cerebral palsy
Congenital cerebral palsy	Cerebral palsy
Infantile cerebral palsy	Cerebral palsy
Chronic metabolic disease	Chronic metabolic disorder
Chronic mental illness	Chronic mental disorder
Chronic mental disease	Chronic mental disorder
Chronic type C viral hepatitis	Chronic hepatitis C
Traumatic radiculopathy	Nerve root injury
Nerve root traumatic injury	Nerve root injury
Superficial pressure sore	Superficial pressure ulcer
Deep pressure sore	Deep pressure ulcer
Gas gangrene-neck	Gas gangrene of neck
Gas gangrene-shoulder	Gas gangrene of shoulder region
Gas gangrene-forearm	Gas gangrene of forearm
Gas gangrene-hand	Gas gangrene of hand
Gas gangrene-pelvis	Gas gangrene of pelvic region of trunk
Gas gangrene-thigh	Gas gangrene of thigh
Gas gangrene-foot	Gas gangrene of foot
Meningitis due to Escherichia coli	Escherichia coli meningitis
Meningitis due to pseudomonas	Pseudomonas meningitis
Toxoplasmosis of brain	Toxoplasma encephalitis
Cerebral toxoplasmosis	Toxoplasma encephalitis
Toxoplasmosis encephalitis	Toxoplasma encephalitis
Toxoplasma meningoencephalitis	Toxoplasma encephalitis
TE - Toxoplasma encephalitis	Toxoplasma encephalitis
Phlebitis of cavernous venous sinus	Phlebitis cavernous sinus
TLE - Temporal lobe epilepsy	Temporal lobe epilepsy
Psychomotor seizure	Temporal lobe epilepsy
Ectopia pupillae	Ectopic pupil
Corectopia	Ectopic pupil
Neonatal nasolacrimal duct obstruction	Congenital nasolacrimal duct obstruction
CNLDO - Congenital nasolacrimal duct obstruction	Congenital nasolacrimal duct obstruction
CNDO - Congenital nasolacrimal duct obstruction	Congenital nasolacrimal duct obstruction
Alternating intermittent esotropia	Intermittent alternating esotropia
Alternating intermittent exotropia	Intermittent alternating exotropia
Third nerve palsy - partial	Partial oculomotor nerve palsy
Third nerve palsy with pupil involved	Total oculomotor nerve palsy
Third nerve palsy - total	Total oculomotor nerve palsy
Pupil-involving third nerve palsy	Total oculomotor nerve palsy
Acute non-suppurative otitis media - serous	Acute serous otitis media
PA - Pulmonary artery aneurysm	Pulmonary artery aneurysm
Aneurysm of pulmonary artery	Pulmonary artery aneurysm
Incomplete atrioventricular block	Partial atrioventricular block
Incomplete heart block	Partial atrioventricular block
Partial heart block	Partial atrioventricular block
Incomplete atrioventricular block, second degree	Second degree atrioventricular block
Second degree heart block	Second degree atrioventricular block
Basilar artery obstruction	Basilar artery occlusion
Occlusion of basilar artery	Basilar artery occlusion
Aneurysm of brachial artery	Brachial artery aneurysm
Aneurysm of radial artery	Radial artery aneurysm
Aneurysm of ulnar artery	Ulnar artery aneurysm
RAT - Recurrent acute tonsillitis	Recurrent acute tonsillitis
Polyp of frontal sinus	Frontal sinus polyp
Partial bilateral paralysis of vocal cords	Bilateral partial vocal cord paralysis
Partial paralysis of both vocal cords	Bilateral partial vocal cord paralysis
Legionnaire's disease	Legionella pneumonia
Legionnaires' disease	Legionella pneumonia
Legionnaires disease	Legionella pneumonia
Chronic wheezy bronchitis	Chronic asthmatic bronchitis
ADU - Acute duodenal ulcer	Acute duodenal ulcer
CSG - Chronic superficial gastritis	Chronic superficial gastritis
Cicatrix of duodenum	Duodenal scar
SMAE - Superior mesenteric artery embolus	Superior mesenteric artery embolus
Gastroenteritis due to radiation	Radiation gastroenteritis
Subacute bowel obstruction	Subacute intestinal obstruction
Massive hepatic necrosis	Acute necrosis of liver
Acute yellow atrophy of liver	Acute necrosis of liver
Acute yellow atrophy	Acute necrosis of liver
AP - Acute pancreatitis	Acute pancreatitis
Polyp of ureter	Ureteric polyp
Recurrent UTI - urinary tract infection	Recurrent urinary tract infection
Stricture of tunica vaginalis	Tunica vaginalis stricture
Localized dermatosclerosis	Localized scleroderma
Morphea scleroderma	Localized scleroderma
Circumscribed scleroderma	Localized scleroderma
Addison's keloid	Localized scleroderma
Localized morphea	Localized scleroderma
Elbow - recurrent dislocation	Recurrent dislocation of elbow
Knee - recurrent dislocation	Recurrent dislocation of knee
Recurrent dislocation of the knee	Recurrent dislocation of knee
Discitis of thoracic region	Thoracic discitis
Complete rupture of rotator cuff	Full thickness rotator cuff tear
Tennis elbow	Lateral epicondylitis
Lateral epicondylitis of elbow	Lateral epicondylitis
Toxic synovitis	Transient synovitis
Muscle abscess-back	Muscle abscess of back
Congenital hypoplasia of spinal cord	Spinal cord hypoplasia
Atelomyelia	Spinal cord hypoplasia
Congenital arteriovenous anomaly of retina	Congenital arteriovenous malformation of retina
Congenital stricture of coronary artery	Congenital stenosis of coronary artery
Congenital stenosis of jejunum	Congenital jejunal stenosis
Congenital stenosis of ileum	Congenital ileal stenosis
CVT - Congenital vertical talus	Congenital vertical talus
Fetal hemorrhage	Fetal blood loss
Closed fracture of pubis	Closed fracture pubis
Closed fracture head of femur	Closed fracture of head of femur
Open dislocation of mandible	Open dislocation of jaw
Open dislocation of inferior maxilla	Open dislocation of jaw
Open dislocation of acromioclavicular joint	Open traumatic dislocation acromioclavicular joint
Open dislocation of midcarpal joint of wrist	Open traumatic dislocation midcarpal joint
Open dislocation of carpometacarpal joint of wrist	Open traumatic dislocation carpometacarpal joint
Closed traumatic dislocation of hip joint	Closed traumatic dislocation of hip
Closed traumatic dislocation of patella	Closed traumatic dislocation of patellofemoral joint
Open dislocation of foot	Open traumatic dislocation of foot
Open dislocation of tarsometatarsal joint	Open traumatic dislocation of tarsometatarsal joint
Closed dislocation of cervical vertebra	Closed dislocation cervical spine
Closed dislocation of neck	Closed dislocation cervical spine
Compound dislocation of neck	Open dislocation of cervical spine
Open dislocation of neck	Open dislocation of cervical spine
Open dislocation of cervical vertebra	Open dislocation of cervical spine
Closed dislocation thoracic vertebra	Closed dislocation thoracic spine
Open dislocation of thoracic vertebra	Open dislocation thoracic spine
Open wound of ear auricle	Open wound of external ear
Closed injury, radial nerve	Closed injury of radial nerve
Open injury, radial nerve	Open injury of radial nerve
Fat embolus	Fat embolism
Pressure sore on ear	Pressure ulcer of ear
Pressure ulcer on ear	Pressure ulcer of ear
Pressure sore on head	Pressure ulcer of head
Pressure ulcer on head	Pressure ulcer of head
Pressure sore on elbow	Pressure ulcer of elbow
Pressure ulcer on elbow	Pressure ulcer of elbow
Pressure sore on heel	Pressure ulcer of heel
Pressure ulcer on heel	Pressure ulcer of heel
Pressure sore on sacrum	Pressure ulcer of sacral region
Sacral pressure sore	Pressure ulcer of sacral region
Pressure ulcer on sacrum	Pressure ulcer of sacral region
Pressure sore of buttock	Pressure ulcer of buttock
Anterior aphasia	Anterior dysphasia
Callosity on foot	Foot callus
Zoster encephalitis	Herpes zoster encephalitis
Focal Alzheimer disease	Focal Alzheimer's disease
CPC - Choroid plexus cyst	Choroid plexus cyst
Hemorrhage into cornea	Corneal hemorrhage
Hematocornea	Corneal hemorrhage
ARN - Acute retinal necrosis	Acute retinal necrosis
BARN - Bilateral acute retinal necrosis	Acute retinal necrosis
RAO - Retinal artery occlusion	Retinal artery occlusion
Cholesteatoma of mastoid	Mastoid cholesteatoma
Cricopharyngeal spasm	Pharyngeal spasm
Pharyngeal stricture	Pharyngeal stenosis
Submucosal hemorrhage of vocal cord	Vocal cord hematoma
Submucosal hemorrhage of vocal fold	Vocal cord hematoma
Chronic suppurative lung disease	Chronic bronchial sepsis
Benign asbestos pleurisy	Asbestos pleurisy
Acute asbestos pleurisy	Asbestos pleurisy
Pulmonary edema of mountaineers	High altitude pulmonary edema
HB - Heart block	Heart block
AMPE - Acute massive pulmonary embolism	Acute massive pulmonary embolism
AMP - Acute massive pulmonary embolism	Acute massive pulmonary embolism
SAMPE - Subacute massive pulmonary embolism	Subacute massive pulmonary embolism
Peripheral ischemic vascular disease	Peripheral ischemia
Ischemic arm	Upper limb ischemia
Ischemic leg	Lower limb ischemia
ICA - Internal carotid artery stenosis	Internal carotid artery stenosis
CIA - Common iliac artery stenosis	Common iliac artery stenosis
EIA - External iliac artery stenosis	External iliac artery stenosis
SFA - Superficial femoral artery stenosis	Superficial femoral artery stenosis
Aneurysm of carotid artery	Carotid artery aneurysm
Aneurysm of ductus arteriosus	Ductus arteriosus aneurysm
Arterial bleed	Arterial hemorrhage
Avulsion of artery	Arterial avulsion
Phlebitis of saphenous vein	Saphenous vein phlebitis
Embolus of vein	Venous embolism
AV - Congenital arteriovenous malformation	Congenital arteriovenous malformation
AVM - Congenital arteriovenous malformation	Congenital arteriovenous malformation
Arteriovenous malformation	Congenital arteriovenous malformation
AV - Congenital arteriovenous anomaly	Congenital arteriovenous malformation
Congenital cerebral arteriovenous malformation	Cerebral arteriovenous malformation
AVM - Cerebral arteriovenous malformation	Cerebral arteriovenous malformation
Congenital AV - arteriovenous fistula	Congenital arteriovenous fistula
Congenital arteriovenous fistula - disorder	Congenital arteriovenous fistula
Pseudocyst of spleen	Splenic pseudocyst
Fibrous epulis	Gingival fibroepithelial polyp
FEP - Gingival fibroepithelial polyp	Gingival fibroepithelial polyp
Chronic nonspecific sialadenitis	Chronic sialadenitis
CP - Chronic pancreatitis	Chronic pancreatitis
Nonspecific duodenitis	Chronic duodenitis
Radiation induced proctitis	Radiation proctitis
Reversible ischemic colitis	Transient ischemic colitis
Pancreatic duct occlusion	Pancreatic duct obstruction
Rutherford Morrison pouch abscess	Rutherford Morrison's pouch abscess
RIH - Right inguinal hernia	Right inguinal hernia
LIH - Left inguinal hernia	Left inguinal hernia
Hamman Rich syndrome	Acute interstitial pneumonia
MCGN type III - Mesangiocapillary glomerulonephritis type III	Mesangiocapillary glomerulonephritis type III
MCGN type IV - Mesangiocapillary glomerulonephritis type IV	Mesangiocapillary glomerulonephritis type IV
Acute on chronic renal failure	Acute-on-chronic renal failure
Type I renal tubular acidosis	Distal renal tubular acidosis
RTA Type I - Type I renal tubular acidosis	Distal renal tubular acidosis
Late radiation effect of bladder	Chronic radiation cystitis
Endometrioma	Chocolate cyst of ovary
Moderate pre-eclampsia	Moderate proteinuric hypertension of pregnancy
Laceration of vulva	Vulval tear
Hymenal laceration	Hymen tear
Lacerated hymen	Hymen tear
Breast prosthesis extrusion	Breast implant protrusion
Fiberglass itch	Fiberglass dermatitis
Hand dermatitis	Hand eczema
Dermatitis of hand	Hand eczema
Wear and tear dermatitis	Chronic irritant contact dermatitis
Oleoma	Oil granuloma
Oleogranuloma	Oil granuloma
CDLE - Chronic discoid lupus erythematosus	Chronic discoid lupus erythematosus
Skin and joint lupus	Limited lupus erythematosus
Injury of tendon	Tendon injury
Black limb	Gas gangrene of limb
Osteonecrosis	Bone necrosis
Foetal acidosis	Fetal acidosis
Herpes simplex esophagitis	Esophageal herpes simplex infection
CDU - Candiru fever	Candiru fever
Guinea-worm abscess	Guinea-worm ulcer
Demodecosis	Demodex folliculitis
Blast injury to lungs	Blast lung
PVD - Posterior vitreous detachment	Posterior vitreous detachment
NVD - New vessels optic disc	Optic disc neovascularization
New vessels in optic disc	Optic disc neovascularization
Peripheral vasoproliferative retinopathy	Peripheral retinal neovascularization
Peripheral drusenosis	Peripheral drusen
Whitehead	Closed comedone
SAD - Seasonal affective disorder	Seasonal affective disorder
Gynoid fat distribution	Peripheral obesity
Fat limbs with thin body	Peripheral obesity
Pyorrhea alveolaris	Marginal periodontitis
Riggs' disease	Marginal periodontitis
Periodontitis simplex	Marginal periodontitis
Chronic suppurative pericementitis	Marginal periodontitis
Simple periodontitis	Marginal periodontitis
Fauchard's disease	Marginal periodontitis
NTD - Neural tube defect	Neural tube defect
Arnold Chiari type 1	Chiari malformation type I
Arnold Chiari type 3	Chiari malformation type III
PPS - Peripheral pulmonary stenosis	Peripheral pulmonary artery stenosis
Annuloaortic ectasia	Congenital aneurysm of ascending aorta
Localized fibrous tumor of pleura	Pleural fibroma
Solitary fibrous tumor of pleura	Pleural fibroma
Cutis marmorata telangiectatica congenita	Congenital livedo reticularis
CMTC - Cutis marmorata telangiectatica congenita	Congenital livedo reticularis
Cutis marmorata telangiectasia congenita	Congenital livedo reticularis
Van Lohuizen's syndrome	Congenital livedo reticularis
Brain tumor	Intracranial tumor
BT - Brain tumor	Intracranial tumor
ICT - Intracranial tumor	Intracranial tumor
Intracranial neoplasm	Intracranial tumor
Glioma of brain	Intracranial glioma
Injury of thumb	Thumb injury
Superficial graze	Superficial abrasion
Graze	Superficial abrasion
Friction burn	Superficial friction burn
Deep bruise	Deep bruising
Deep contusion	Deep bruising
Head - burn	Head burn
Burn of head	Head burn
First degree burn of finger	Superficial burn of finger
Foreign body of brain tissue	Intracranial foreign body
Foreign body in gum	Gingival foreign body
Foreign body in oropharynx	Oropharyngeal foreign body
Hematoma of spleen	Splenic hematoma
Bursting injury of duodenum	Duodenal rupture
Rupture of duodenum	Duodenal rupture
Disruption of duodenum	Duodenal rupture
Colporrhexis	Vaginal vault tear
Complete tear of ligament	Ligament rupture
Ligament tear	Ligament rupture
Closed fracture of tuberosity of tibia	Closed fracture of tibial tuberosity
Fracture of metatarsal bone	Metatarsal bone fracture
TIA	Transient cerebral ischemia
Temporary cerebral vascular dysfunction	Transient cerebral ischemia
Transient ischemic attack	Transient cerebral ischemia
Follicular impetigo	Superficial folliculitis
Fat pad	Localized adiposity
Fatty tissue hyperplasia	Localized adiposity
Lipohyperplasia	Localized adiposity
Localized obesity	Localized adiposity
First degree heart block	First degree atrioventricular block
Incomplete atrioventricular block, first degree	First degree atrioventricular block
Perforation of duodenum	Duodenal perforation
Hematoma with intact skin	Superficial bruising
Superficial hematoma	Superficial bruising
Superficial contusion	Superficial bruising
Superficial bruise	Superficial bruising
Congenital unstable hip	Congenital instability of hip joint
Congenital imperforate nasolacrimal duct	Congenital stenosis of nasolacrimal duct
Horner syndrome	Horner's syndrome pupil
Miosis innervational defect	Horner's syndrome pupil
Horner syndrome pupil	Horner's syndrome pupil
Intracerebral hemorrhage (ICH)	Cerebral hemorrhage
Abscess, male genital	Male genital abscess
Abscess of male genital organs	Male genital abscess
Genital org.-open wound	Open wound of genital organ
Congenital tetraplegia	Congenital quadriplegia
Aspiration of mucus in newborn	Neonatal aspiration of mucus
Tracheal bronchial hemorrhage	Tracheobronchial hemorrhage
Foetal stress	Fetal stress
Viral ophthalmia neonatorum	Neonatal viral conjunctivitis
Neonatal conjunctivitis due to virus	Neonatal viral conjunctivitis
Ophthalmia neonatorum - viral	Neonatal viral conjunctivitis
Berry aneurysm - disorder	Berry aneurysm
Phrenic nerve palsy	Phrenic nerve lesion
Phrenic nerve paralysis	Phrenic nerve lesion
Paralysis of phrenic nerve	Phrenic nerve lesion
Fetal injury	Fetal trauma
Foetal trauma	Fetal trauma
Foetal injury	Fetal trauma
LT - Left hemiplegia	Left hemiplegia
Right sided weakness	Right hemiparesis
Left sided weakness	Left hemiparesis
TB - Genital tuberculosis	Genital tuberculosis
Congenital aneurysm	Congenital arterial aneurysm
Collar bone injury	Clavicle injury
Injury of pelvis region	Pelvic injury
Superficial injury of plantar surface of foot	Superficial injury of sole of foot
BI - Bone injury	Bone injury
Burn to head - erythema	First degree burn of head
Burn to head - blister	Second degree burn of head
Burn to head - full thickness	Third degree burn of head
Indometacin allergy	Indomethacin allergy
5-aminosalicylic acid allergy	Mesalazine allergy
Mesalamine allergy	Mesalazine allergy
Dantron allergy	Danthron allergy
Dicyclomine allergy	Dicycloverine allergy
Thiopental allergy	Thiopentone allergy
Lignocaine allergy	Lidocaine allergy
Amethocaine allergy	Tetracaine allergy
Mustine allergy	Chlormethine allergy
Mechlorethamine allergy	Chlormethine allergy
Mitozantrone allergy	Mitoxantrone allergy
Tioguanine allergy	Thioguanine allergy
Hydroxyurea allergy	Hydroxycarbamide allergy
Ciclosporin allergy	Cyclosporin allergy
Lisuride allergy	Lysuride allergy
Dothiepin allergy	Dosulepin allergy
Phenobarbital allergy	Phenobarbitone allergy
Amobarbital allergy	Amylobarbitone allergy
Butobarbital allergy	Butobarbitone allergy
Secobarbital allergy	Quinalbarbitone allergy
Clomethiazole allergy	Chlormethiazole allergy
Pipotiazine allergy	Pipothiazine allergy
Flupentixol allergy	Flupenthixol allergy
Dexamfetamine allergy	Dexamphetamine allergy
Benzhexol allergy	Trihexyphenidyl allergy
Benzatropine allergy	Benztropine allergy
Chlorpheniramine allergy	Chlorphenamine allergy
Dimetindene allergy	Dimethindene allergy
Trimeprazine allergy	Alimemazine allergy
Sodium cromoglicate allergy	Sodium cromoglycate allergy
Ribavirin allergy	Tribavirin allergy
Hexachlorophene allergy	Hexachlorophane allergy
Dibromopropamidine isethionate allergy	Dibrompropamidine isethionate allergy
Tiabendazole allergy	Thiabendazole allergy
Amoxycillin allergy	Amoxicillin allergy
Cefalexin allergy	Cephalexin allergy
Cefazolin allergy	Cephazolin allergy
Cefradine allergy	Cephradine allergy
Desoximetasone allergy	Desoxymethasone allergy
Flurandrenolone allergy	Fludroxycortide allergy
Beclometasone allergy	Beclomethasone allergy
Etynodiol diacetate allergy	Ethynodiol diacetate allergy
Diethylstilbestrol allergy	Stilbestrol allergy
Clomifene allergy	Clomiphene allergy
Tetracosactide allergy	Tetracosactrin allergy
Nicoumalone allergy	Acenocoumarol allergy
Nicotinamide allergy	Niacinamide allergy
Colestyramine allergy	Cholestyramine allergy
Bendrofluazide allergy	Bendroflumethiazide allergy
Frusemide allergy	Furosemide allergy
Chlortalidone allergy	Chlorthalidone allergy
Pentaerithrityl tetranitrate allergy	Pentaerythritol tetranitrate allergy
Oxpentifylline allergy	Pentoxifylline allergy
Thymoxamine allergy	Moxisylyte allergy
Limited scleroderma	Limited systemic sclerosis
Systemic sclerosis, limited	Limited systemic sclerosis
Lower lobe pneumonia	Basal pneumonia
Proteus UTI (urinary tract infection)	Proteus urinary tract infection
VUJ - Vesicoureteric junction calculus	Vesicoureteric junction calculus
RAS - Renal artery stenosis	Renal artery stenosis
Vocal cord paresis	Vocal cord palsy
Vocal cord paralysis	Vocal cord palsy
VCP - Vocal cord palsy	Vocal cord palsy
Paralysis of vocal cords	Vocal cord palsy
Vocal fold palsy	Vocal cord palsy
Pubertal mastitis	Adolescent mastitis
Pneumatosis arterialis	Arterial air embolus
Arterial air embolism	Arterial air embolus
Arterial gas embolism	Arterial air embolus
Occlusion of vein	Venous occlusion
Obstruction of vein	Venous occlusion
Twelfth cranial nerve palsy	Hypoglossal nerve palsy
Fracture of elbow	Elbow fracture
Moderate nonproliferative retinopathy	Moderate nonproliferative diabetic retinopathy
Severe nonproliferative retinopathy	Severe nonproliferative diabetic retinopathy
Severe NPDR	Severe nonproliferative diabetic retinopathy
Chronic cyclitis	Intermediate uveitis
Peripheral uveitis	Intermediate uveitis
Peripheral uveoretinitis	Intermediate uveitis
Chronic posterior cyclitis	Intermediate uveitis
ALI - Acute lung injury	Acute lung injury
ASC - Anterior subcapsular cataract	Anterior subcapsular cataract
PSC - posterior subcapsular cataract	Posterior subcapsular cataract
Injury of esophagus	Esophageal injury
Hemorrhage from pharynx	Pharyngeal hemorrhage
Persistent hyperinsulinemic hypoglycemia of infancy	Congenital hyperinsulinism
Endocardial cushion defect, complete type	Common atrioventricular canal
Atrioventricular canal type ventricular septal defect	Common atrioventricular canal
Macrocheilia	Lip hypertrophy
Major depression	Major depressive disorder
Neonatal cerebral infarction	Neonatal stroke
Arnold Chiari type 2	Chiari malformation type II
Mild cognitive impairment	Mild cognitive disorder
Vulvar cellulitis	Vulval cellulitis
Phlegmonous vulvitis	Vulval cellulitis
Pressure angioedema-urticaria	Pressure urticaria
Exomphalos	Umbilical hernia
Exumbilication	Umbilical hernia
HZV keratitis	Herpes zoster keratitis
Vaginocele	Vaginal hernia
Colpocele	Vaginal hernia
Chronic iritis	Chronic anterior uveitis
Partial tear of ligament	Partial rupture of ligament
Pressure sore	Pressure ulcer
Contact ulcer	Pressure ulcer
Congenital hamartosis	Congenital hamartoma
Hamartomatous disease	Congenital hamartoma
Hamartomatosis	Congenital hamartoma
Hamartoma of spleen	Splenic hamartoma
Childhood atopic eczema	Childhood atopic dermatitis
Adult atopic eczema	Adult atopic dermatitis
Acute seborrheic eczema	Acute seborrheic dermatitis
Chronic seborrheic eczema	Chronic seborrheic dermatitis
Acute hand dermatitis	Acute hand eczema
Chronic hand dermatitis	Chronic hand eczema
Eczema of foot	Foot eczema
Vulval dermatitis	Vulval eczema
Acute graft versus host disease	Acute graft-versus-host disease
Chronic graft versus host disease	Chronic graft-versus-host disease
Recurrent idiopathic urticaria	Episodic idiopathic urticaria
Recurrent urticaria	Episodic urticaria
Juvenile bullous pemphigoid	Childhood bullous pemphigoid
Recurrent herpetic keratitis	Recurrent herpes simplex infection of eye
Recurrent herpes labialis	Recurrent herpes simplex labialis
Recurrent herpes genitalis	Recurrent genital herpes simplex
P. acnes folliculitis	Propionibacterium acnes folliculitis
Lip fissure	Median fissure of lip
Gangrene of penis	Penile gangrene
Cystic dermoid choristoma of midline	Midline dermoid cyst
Hollenhorst plaque	Cholesterol retinal embolus
Laryngospasm	Laryngeal spasm
Bone sequestration	Bone sequestrum
VZV conjunctivitis	Herpes zoster conjunctivitis
Varicella virus conjunctivitis	Herpes zoster conjunctivitis
Chronic coronary insufficiency	Chronic myocardial ischemia
Gingival cyst of neonate	Gingival cyst of newborn
Incisional hernia of anterior abdominal wall	Ventral incisional hernia
Hordeolum internum	Internal hordeolum
Infected chalazion	Internal hordeolum
Infected cyst of meibomian gland	Internal hordeolum
Infected meibomian cyst	Internal hordeolum
